Handedness,height,weight,avg,Home Runs,Players
Right,75,190,0,0,962
Right,73,170,0.261,136,963
Right,76,205,0.278,123,964
Both,70,160,0.271,160,965
Left,70,195,0.229,5,966
Left,70,175,0.235,33,967
Right,74,190,0,0,968
Right,71,187,0.292,351,969
Right,75,200,0.236,17,970
Right,72,165,0.243,3,971
Right,77,203,0,0,972
Left,74,188,0.282,475,973
Left,76,210,0.201,13,974
Right,73,163,0.25,35,975
Left,73,180,0.258,87,976
Right,71,185,0.242,17,977
Right,72,200,0.123,1,978
Right,74,195,0.236,33,979
Both,73,180,0.259,93,980
Right,71,170,0.258,20,981
Both,74,185,0.245,90,982
Right,74,210,0.247,91,983
Left,73,195,0.293,52,984
Right,72,195,0.201,7,985
Both,71,170,0.228,6,986
Right,74,185,0,0,987
Right,70,155,0.259,95,988
Right,69,170,0.263,155,989
Right,72,190,0.226,6,990
Right,72,174,0.132,1,991
Right,70,160,0.25,291,992
Right,72,190,0.241,6,993
Right,73,190,0.265,151,994
Right,70,159,0.24,1,995
Right,74,195,0.267,548,996
Left,72,170,0.275,139,997
Right,71,160,0.243,29,998
Left,71,185,0.26,6,999
Left,74,205,0.255,54,1000
Right,75,187,0,0,1001
Right,70,160,0.259,79,1002
Right,70,189,0.26,12,1003
Right,72,185,0.251,3,1004
Left,76,195,0.257,134,1005
Right,74,190,0,0,1006
Left,71,180,0.237,14,1007
Right,74,195,0.242,73,1008
Left,73,180,0.237,18,1009
Right,72,175,0.226,9,1010
Left,74,185,0.265,15,1011
Right,74,212,0.297,252,1012
Right,73,200,0.259,51,1013
Right,76,200,0,0,1014
Right,70,165,0.271,148,1015
Right,75,198,0,0,1016
Right,74,215,0.212,61,1017
Right,65,148,0.242,41,1018
Right,74,175,0.247,14,1019
Right,70,157,0.242,16,1020
Left,72,196,0.25,31,1021
Right,72,180,0,0,1022
Both,72,185,0.274,24,1023
Left,74,180,0.279,182,1024
Right,71,170,0.207,2,1025
Right,75,210,0.251,25,1026
Right,73,190,0.268,332,1027
Right,71,185,0.133,9,1028
Both,72,184,0.274,1,1029
Right,72,185,0.253,45,1030
Right,72,185,0.25,101,1031
Right,74,200,0.243,21,1032
Right,73,150,0.263,61,1033
Right,71,175,0.237,4,1034
Left,73,170,0.237,7,1035
Right,73,185,0.234,31,1036
Right,74,200,0.246,28,1037
Right,75,190,0,0,1038
Right,74,205,0.266,29,1039
Right,69,170,0.223,11,1040
Right,71,175,0.248,4,1041
Both,74,170,0.25,6,1042
Right,74,180,0.248,14,1043
Right,73,210,0.259,25,1044
Left,73,200,0,0,1045
Both,74,195,0.247,72,1046
Right,73,175,0.246,112,1047
Both,74,183,0.229,15,1048
Both,71,165,0.217,13,1049
Right,73,165,0.22,3,1050
Right,73,170,0.261,176,1051
Right,74,200,0.264,179,1052
Right,74,200,0.298,382,1053
Right,74,185,0,0,1054
Right,76,190,0,0,1055
Right,69,150,0.237,1,1056
Right,71,160,0.246,22,1057
Left,73,173,0.215,4,1058
Left,70,160,0.27,2,1059
Left,71,195,0.238,85,1060
Right,70,185,0.252,39,1061
Left,73,175,0.22,62,1062
Right,74,190,0.231,14,1063
Right,74,210,0,0,1064
Both,71,175,0.268,45,1065
Right,67,167,0.239,3,1066
Right,71,150,0.257,118,1067
Left,73,168,0.253,68,1068
Right,80,220,0,0,1069
Right,70,185,0.261,316,1070
Right,71,190,0.215,3,1071
Both,73,190,0.255,65,1072
Right,72,200,0.288,59,1073
Right,72,175,0.263,46,1074
Right,72,190,0.241,201,1075
Right,70,175,0.267,14,1076
Right,71,185,0.245,16,1077
Both,74,188,0.217,14,1078
Left,74,200,0.224,21,1079
Right,74,195,0,0,1080
Right,75,203,0.262,200,1081
Right,70,185,0.248,11,1082
Right,73,185,0.233,34,1083
Right,74,190,0.226,30,1084
Right,72,180,0.257,43,1085
Right,69,176,0.213,0,1086
Left,72,170,0.259,32,1087
Left,73,180,0.268,18,1088
Left,73,185,0.246,166,1089
Left,74,185,0.248,12,1090
Left,75,230,0.244,130,1091
Both,74,185,0.289,70,1092
Right,73,185,0.144,0,1093
Right,73,190,0.283,22,1094
Right,72,175,0.233,10,1095
Right,75,195,0.255,68,1096
Left,76,200,0.261,208,1097
Both,69,160,0.241,9,1098
Right,74,200,0,0,1099
Right,73,185,0,0,1100
Left,72,195,0.243,95,1101
Right,71,160,0.247,8,1102
Right,73,192,0.243,13,1103
Left,74,165,0.298,241,1104
Right,75,180,0.254,36,1105
Right,74,200,0.24,122,1106
Right,75,210,0,0,1107
Right,71,165,0.253,4,1108
Left,77,210,0,0,1109
Left,76,210,0.265,62,1110
Left,70,150,0.245,7,1111
Right,74,180,0.234,3,1112
Left,74,205,0,0,1113
Left,71,174,0.224,13,1114
Left,70,180,0.251,26,1115
Right,72,185,0.243,24,1116
Right,71,183,0.22,26,1117
Left,71,165,0.257,30,1118
Right,72,175,0.232,4,1119
Left,70,178,0.255,9,1120
Right,71,170,0.27,19,1121
Right,72,201,0.295,184,1122
Right,74,190,0.239,131,1123
Right,73,187,0.215,30,1124
Right,80,245,0,0,1125
Right,72,185,0.225,32,1126
Both,72,169,0.24,2,1127
Right,73,183,0,0,1128
Left,70,198,0.266,25,1129
Left,76,196,0.201,20,1130
Right,72,165,0.248,9,1131
Left,72,183,0,0,1132
Right,73,190,0.188,14,1133
Both,74,190,0.232,31,1134
Right,73,180,0.169,7,1135
Left,77,210,0,0,1136
Left,70,175,0.268,10,1137
Right,75,175,0,0,1138
Left,73,175,0.254,12,1139
Left,72,175,0.269,28,1140
Right,70,170,0.263,86,1141
Right,69,150,0.21,0,1142
Right,76,235,0,0,1143
Right,76,210,0,0,1144
Right,70,190,0.244,38,1145
Right,78,215,0,0,1146
Right,75,185,0.264,166,1147
Right,77,205,0,0,1148
Right,75,205,0.162,1,1149
Left,69,165,0.275,7,1150
Left,74,180,0,0,1151
Right,73,180,0.232,26,1152
Both,75,195,0,0,1153
Left,72,180,0.256,13,1154
Right,70,175,0.26,109,1155
Right,75,205,0,0,1156
Right,70,170,0,0,1157
